Tuesday/Wtorek,22.03.16,"7,07","35,0",6 200,149,9 500,,#N/D,17,"0,28","66,00",,,,
Wednesday/Środa,23.03.16,"7,08","34,4",5 200,308,7 500,,#N/D,107,"1,78",,,,,
Thursday/Czwartek,24.03.16,"6,96","34,6",5 495,203,8 000,,#N/D,57,"0,95","72,00",,,,
Friday/Piątek,25.03.16,"6,98","34,8",5 303,196,9 300,4 300,"0,46",39,"0,65","78,00",,,,
Saturday/Sobota,26.03.16,"6,97","35,2",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,27.03.16,"7,00","35,4",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,28.03.16,"7,04","36,1",,,,,#N/D,,#N/D,,,,,
Tuesday/Wtorek,29.03.16,"7,03","36,3",7 420,121,10 000,,#N/D,8,"0,13","86,00",189,5,3,2
Wednesday/Środa,30.03.16,"6,96","34,0",5 100,152,10 000,,#N/D,22,"0,37","84,00",,3,,2
Thursday/Czwartek,31.03.16,"7,01","34,2",6 700,250,9 500,,#N/D,55,"0,92","80,00",,0,,1
Friday/Piątek,01.04.16,"7,01","35,0",6 400,172,9 000,,#N/D,21,"0,35","83,20",270,0,,2
Saturday/Sobota,02.04.16,"6,99","35,0",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,03.04.16,,"30,3",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,04.04.16,"7,25","35,7",6 600,144,9 000,,#N/D,51,"0,85",,,2,,3
Tuesday/Wtorek,05.04.16,"7,08","34,6",6 600,207,8 000,,#N/D,50,"0,83",,262,0,,2
Wednesday/Środa,06.04.16,"7,17","34,8",6 600,175,7 500,,#N/D,32,"0,53",,,0,,3
Thursday/Czwartek,07.04.16,"7,14","34,7",6 400,177,8 000,,#N/D,29,"0,48",,213,0,,3
Friday/Piątek,08.04.16,"6,98","34,9",6 500,159,8 000,,#N/D,24,"0,40",,,0,,3
Saturday/Sobota,09.04.16,,"34,6",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,10.04.16,,"33,7",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,11.04.16,"7,08","34,6",6 200,158,8 000,,#N/D,25,"0,42","94,00",,2,,4
Tuesday/Wtorek,12.04.16,"7,02","34,7",6 000,151,7 500,,#N/D,28,"0,47",,382,4,,4
Wednesday/Środa,13.04.16,"6,97","35,2",5 800,133,7 500,,#N/D,6,"0,10","101,00",,4,4,3
Thursday/Czwartek,14.04.16,"6,96","34,8",5 700,,7 500,,#N/D,11,"0,18","92,00",268,3,,4
Friday/Piątek,15.04.16,,"34,9",,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,16.04.16,,"35,0",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,17.04.16,,"35,0",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,18.04.16,,"35,2",5 700,,7 500,,#N/D,,#N/D,"105,00",,,,
Tuesday/Wtorek,19.04.16,,"35,0",5 900,,7 000,,#N/D,,"0,40","175,00",,,,
Wednesday/Środa,20.04.16,,"34,9",6 200,,7 500,4 496,"0,60",30,"0,50","175,00",,,,
Thursday/Czwartek,21.04.16,,"35,2",6 200,,7 500,,#N/D,21,"0,35","175,00",,,,
Friday/Piątek,22.04.16,,"35,2",6 100,,7 500,,#N/D,19,"0,32","150,00",,,,
Saturday/Sobota,23.04.16,,"35,0",6 300,,7 500,,#N/D,,"0,38","175,00",,,,
Sunday/Niedziela,24.04.16,,"34,0",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,25.04.16,,"35,1",6 900,,7 000,,#N/D,15,"0,25","175,00",,,,
Tuesday/Wtorek,26.04.16,,"35,3",6 000,,7 000,,#N/D,19,"0,32","175,00",,,,
Wednesday/Środa,27.04.16,,"35,3",,,,,#N/D,,#N/D,,,,,
Thursday/Czwartek,28.04.16,,"35,1",,,,,#N/D,,#N/D,,,,,
Friday/Piątek,29.04.16,"7,03","34,6",7 000,189,6 500,,#N/D,57,"0,95",,,0,,5
Saturday/Sobota,30.04.16,,"34,2",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,01.05.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,02.05.16,,"34,7",,,,,#N/D,,#N/D,,,,,
Tuesday/Wtorek,03.05.16,,"34,6",,,,,#N/D,,#N/D,,,,,
Wednesday/Środa,04.05.16,"7,03","34,0",6 800,142,8 500,,#N/D,18,"0,30","175,00",370,4,7,6
Thursday/Czwartek,05.05.16,"7,05",,6 900,,8 000,,#N/D,36,"0,60",,,2,,6
Friday/Piątek,06.05.16,"7,16","34,7",7 100,,8 000,,#N/D,21,"0,35","225,00",362,1,,6
Saturday/Sobota,07.05.16,,"34,8",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,08.05.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,09.05.16,"7,18","35,8",7 100,,9 000,,#N/D,37,"0,62",,,7,,0
Tuesday/Wtorek,10.05.16,"7,08",,6 800,,8 500,,#N/D,19,"0,32","300,00",322,8,,7
Wednesday/Środa,11.05.16,"7,13",,6 600,119,8 500,,#N/D,10,"0,17","285,00",,9,7,6
Thursday/Czwartek,12.05.16,"7,09","34,9",6 600,,9 000,,#N/D,25,"0,42","245,00",311,8,,6
Friday/Piątek,13.05.16,"7,07",,6 200,,7 667,,#N/D,27,"0,45",,,7,7,7
